COUNTY,monthly_rent
Adams County,"$1,036 "
Asotin County,"$1,042 "
Benton County,"$1,433 "
Chelan County,"$1,381 "
Clallam County,"$1,080 "
Clark County,"$1,433 "
Columbia County,"$1,128 "
Cowlitz County,"$1,299 "
Douglas County,"$1,670 "
Ferry County,"$1,089 "
Franklin County,"$1,628 "
Garfield County,$867 
Grant County,"$1,263 "
Grays Harbor County,"$1,113 "
Island County,"$1,021 "
Jefferson County,"$1,279 "
King County,"$1,633 "
Kitsap County,"$1,167 "
Kittitas County,"$1,989 "
Klickitat County,"$1,140 "
Lewis County,"$1,769 "
Lincoln County,"$1,180 "
Mason County,"$1,210 "
Okanogan County,"$1,128 "
Pacific County,"$1,989 "
Pend Oreille County,"$1,199 "
Pierce County *,"$1,299 "
San Juan County,"$1,013 "
Skagit County,"$1,088 "
Skamania County,"$1,431 "
Snohomish County,"$1,042 "
Spokane County,"$1,633 "
Stevens County,"$1,120 "
Thurston County,"$1,603 "
Wahkiakum County,"$1,042 "
Walla Walla County,"$1,408 "
Whatcom County,"$1,042 "
Whitman County,"$1,242 "
Yakima County,"$1,042 "
