COUNTY,monthly_rent
Adams County,$408
Asotin County,$402
Benton County,$526
Chelan County,$487
Clallam County,$588
Clark County,$659
Columbia County,$414
Cowlitz County,$441
Douglas County,$487
Ferry County,$462
Franklin County,$526
Garfield County,$408
Grant County,$538
Grays Harbor County,$448
Island County,$552
Jefferson County,$566
King County,$758
Kitsap County,$556
Kittitas County,$554
Klickitat County,$479
Lewis County,$527
Lincoln County,$470
Mason County,$524
Okanogan County,$488
Pacific County,$445
Pend Oreille County,$409
Pierce County *,$608
San Juan County,$731
Skagit County,$601
Skamania County,$659
Snohomish County,$758
Spokane County,$470
Stevens County,$487
Thurston County,$721
Wahkiakum County,$455
Walla Walla County,$496
Whatcom County,$583
Whitman County,$473
Yakima County,$446
