COUNTY,monthly_rent
Adams County,$569
Asotin County,$544
Benton County,$669
Chelan County,$591
Clallam County,$589
Clark County,"$1,021"
Columbia County,$598
Cowlitz County,$606
Douglas County,$591
Ferry County,$551
Franklin County,$669
Garfield County,$569
Grant County,$545
Grays Harbor County,$629
Island County,$802
Jefferson County,$713
King County,"$1,225"
Kitsap County,$779
Kittitas County,$657
Klickitat County,$706
Lewis County,$653
Lincoln County,$492
Mason County,$717
Okanogan County,$596
Pacific County,$637
Pend Oreille County,$520
Pierce County *,$873
San Juan County,$824
Skagit County,$719
Skamania County,"$1,021"
Snohomish County,"$1,225"
Spokane County,$589
Stevens County,$497
Thurston County,$827
Wahkiakum County,$563
Walla Walla County,$661
Whatcom County,$699
Whitman County,$608
Yakima County,$588
