COUNTY,monthly_rent
Adams County,$459
Asotin County,$498
Benton County,$599
Chelan County,$577
Clallam County,$598
Clark County,$771
Columbia County,$443
Cowlitz County,$601
Douglas County,$577
Ferry County,$452
Franklin County,$599
Garfield County,$443
Grant County,$466
Grays Harbor County,$523
Island County,$744
Jefferson County,$720
King County,$912
Kitsap County,$760
Kittitas County,$603
Klickitat County,$516
Lewis County,$631
Lincoln County,$518
Mason County,$657
Okanogan County,$550
Pacific County,$525
Pend Oreille County,$505
Pierce County *,$745
San Juan County,$748
Skagit County,$742
Skamania County,$771
Snohomish County,$912
Spokane County,$573
Stevens County,$507
Thurston County,$703
Wahkiakum County,$600
Walla Walla County,$540
Whatcom County,$677
Whitman County,$552
Yakima County,$540
