COUNTY,monthly_rent
Adams County,$415 
Asotin County,$415 
Benton County,$481 
Chelan County,$565 
Clallam County,$468 
Clark County,$481 
Columbia County,$468 
Cowlitz County,$515 
Douglas County,$706 
Ferry County,$457 
Franklin County,$566 
Garfield County,$423 
Grant County,$465 
Grays Harbor County,$465 
Island County,$431 
Jefferson County,$607 
King County,$666 
Kitsap County,$403 
Kittitas County,$771 
Klickitat County,$665 
Lewis County,$630 
Lincoln County,$466 
Mason County,$426 
Okanogan County,$458 
Pacific County,$771 
Pend Oreille County,$447 
Pierce County *,$515 
San Juan County,$457 
Skagit County,$413 
Skamania County,$572 
Snohomish County,$462 
Spokane County,$666 
Stevens County,$491 
Thurston County,$538 
Wahkiakum County,$379 
Walla Walla County,$532 
Whatcom County,$415 
Whitman County,$445 
Yakima County,$415 
