COUNTY,monthly_rent
Adams County,814
Asotin County,1078
Benton County,1203
Chelan County,1132
Clallam County,1170
Clark County,1558
Columbia County,941
Cowlitz County,1159
Douglas County,1132
Ferry County,808
Franklin County,1203
Garfield County,941
Grant County,836
Grays Harbor County,994
Island County,1577
Jefferson County,1316
King County,1895
Kitsap County,1463
Kittitas County,1104
Klickitat County,886
Lewis County,1060
Lincoln County,926
Mason County,1275
Okanogan County,973
Pacific County,1014
Pend Oreille County,902
Pierce County *,1523
San Juan County,1623
Skagit County,1570
Skamania County,1558
Snohomish County,1895
Spokane County,1176
Stevens County,969
Thurston County,1577
Wahkiakum County,1171
Walla Walla County,1057
Whatcom County,1397
Whitman County,1238
Yakima County,970
