COUNTY,monthly_rent
Adams County,$518
Asotin County,$523
Benton County,$588
Chelan County,$591
Clallam County,$607
Clark County,$783
Columbia County,$523
Cowlitz County,$603
Douglas County,$591
Ferry County,$514
Franklin County,$588
Garfield County,$523
Grant County,$526
Grays Harbor County,$527
Island County,$807
Jefferson County,$688
King County,$977
Kitsap County,$748
Kittitas County,$585
Klickitat County,$589
Lewis County,$620
Lincoln County,$514
Mason County,$642
Okanogan County,$585
Pacific County,$513
Pend Oreille County,$514
Pierce County *,$816
San Juan County,$738
Skagit County,$760
Skamania County,$783
Snohomish County,$977
Spokane County,$555
Stevens County,$520
Thurston County,$705
Wahkiakum County,$600
Walla Walla County,$523
Whatcom County,$676
Whitman County,$534
Yakima County,$604
