COUNTY,monthly_rent
Adams County,"$1,024"
Asotin County,"$1,164"
Benton County,"$1,327"
Chelan County,"$1,449"
Clallam County,"$1,403"
Clark County,"$1,615"
Columbia County,"$1,041"
Cowlitz County,"$1,252"
Douglas County,"$1,449"
Ferry County,"$1,044"
Franklin County,"$1,327"
Garfield County,"$1,018"
Grant County,"$1,242"
Grays Harbor County,$994
Island County,"$1,349"
Jefferson County,"$1,686"
King County,"$1,955"
Kitsap County,"$1,599"
Kittitas County,"$1,467"
Klickitat County,"$1,135"
Lewis County,"$1,260"
Lincoln County,$965
Mason County,"$1,194"
Okanogan County,"$1,203"
Pacific County,"$1,171"
Pend Oreille County,"$1,124"
Pierce County *,"$1,707"
San Juan County,"$1,254"
Skagit County,"$1,266"
Skamania County,"$1,615"
Snohomish County,"$1,955"
Spokane County,"$1,262"
Stevens County,"$1,176"
Thurston County,"$1,706"
Wahkiakum County,"$1,142"
Walla Walla County,"$1,346"
Whatcom County,"$1,458"
Whitman County,"$1,320"
Yakima County,"$1,128"
