COUNTY,monthly_rent
Adams County,$664
Asotin County,$655
Benton County,$738
Chelan County,$747
Clallam County,$789
Clark County,$905
Columbia County,$690
Cowlitz County,$700
Douglas County,$747
Ferry County,$664
Franklin County,$738
Garfield County,$690
Grant County,$681
Grays Harbor County,$693
Island County,$974
Jefferson County,$841
King County,"$1,176"
Kitsap County,$921
Kittitas County,$771
Klickitat County,$700
Lewis County,$745
Lincoln County,$664
Mason County,$770
Okanogan County,$688
Pacific County,$672
Pend Oreille County,$664
Pierce County *,"$1,018"
San Juan County,$912
Skagit County,$943
Skamania County,$905
Snohomish County,"$1,176"
Spokane County,$731
Stevens County,$664
Thurston County,$901
Wahkiakum County,$701
Walla Walla County,$690
Whatcom County,$848
Whitman County,$693
Yakima County,$782
