COUNTY,monthly_rent
Adams County,$528
Asotin County,$509
Benton County,$602
Chelan County,$605
Clallam County,$719
Clark County,$766
Columbia County,$470
Cowlitz County,$575
Douglas County,$605
Ferry County,$538
Franklin County,$602
Garfield County,$528
Grant County,$574
Grays Harbor County,$521
Island County,$670
Jefferson County,$704
King County,$897
Kitsap County,$712
Kittitas County,$612
Klickitat County,$620
Lewis County,$623
Lincoln County,$534
Mason County,$650
Okanogan County,$545
Pacific County,$603
Pend Oreille County,$508
Pierce County *,$740
San Juan County,$735
Skagit County,$669
Skamania County,$766
Snohomish County,$897
Spokane County,$575
Stevens County,$491
Thurston County,$787
Wahkiakum County,$516
Walla Walla County,$562
Whatcom County,$686
Whitman County,$572
Yakima County,$544
