COUNTY,monthly_rent
Adams County,"$1,052"
Asotin County,"$1,231"
Benton County,"$1,428"
Chelan County,"$1,350"
Clallam County,"$1,208"
Clark County,"$1,672"
Columbia County,"$1,072"
Cowlitz County,"$1,305"
Douglas County,"$1,350"
Ferry County,"$1,052"
Franklin County,"$1,428"
Garfield County,"$1,045"
Grant County,"$1,111"
Grays Harbor County,"$1,005"
Island County,"$1,401"
Jefferson County,"$1,606"
King County,"$2,506"
Kitsap County,"$1,746"
Kittitas County,"$1,449"
Klickitat County,"$1,050"
Lewis County,"$1,099"
Lincoln County,$859
Mason County,"$1,190"
Okanogan County,"$1,181"
Pacific County,"$1,200"
Pend Oreille County,"$1,121"
Pierce County *,"$1,936"
San Juan County,"$1,302"
Skagit County,"$1,392"
Skamania County,"$1,672"
Snohomish County,"$2,506"
Spokane County,"$1,254"
Stevens County,"$1,181"
Thurston County,"$1,817"
Wahkiakum County,"$1,052"
Walla Walla County,"$1,295"
Whatcom County,"$1,533"
Whitman County,"$1,297"
Yakima County,"$1,240"
