COUNTY,monthly_rent
Adams County,$940
Asotin County,"$1,184"
Benton County,"$1,468"
Chelan County,"$1,260"
Clallam County,"$1,147"
Clark County,"$2,109"
Columbia County,"$1,303"
Cowlitz County,"$1,306"
Douglas County,"$1,260"
Ferry County,"$1,201"
Franklin County,"$1,468"
Garfield County,"$1,070"
Grant County,"$1,033"
Grays Harbor County,"$1,328"
Island County,"$1,530"
Jefferson County,"$1,666"
King County,"$2,617"
Kitsap County,"$1,678"
Kittitas County,"$1,536"
Klickitat County,"$1,423"
Lewis County,"$1,309"
Lincoln County,"$1,149"
Mason County,"$1,316"
Okanogan County,"$1,258"
Pacific County,"$1,168"
Pend Oreille County,"$1,121"
Pierce County *,"$1,966"
San Juan County,"$1,384"
Skagit County,"$1,420"
Skamania County,"$2,109"
Snohomish County,"$2,617"
Spokane County,"$1,263"
Stevens County,"$1,065"
Thurston County,"$1,783"
Wahkiakum County,"$1,070"
Walla Walla County,"$1,545"
Whatcom County,"$1,589"
Whitman County,"$1,372"
Yakima County,"$1,187"
