COUNTY,monthly_rent
Adams County,$588
Asotin County,$623
Benton County,$751
Chelan County,$729
Clallam County,$777
Clark County,$891
Columbia County,$584
Cowlitz County,$698
Douglas County,$729
Ferry County,$584
Franklin County,$751
Garfield County,$584
Grant County,$603
Grays Harbor County,$687
Island County,$898
Jefferson County,$880
King County,"$1,098"
Kitsap County,$936
Kittitas County,$794
Klickitat County,$613
Lewis County,$759
Lincoln County,$669
Mason County,$788
Okanogan County,$646
Pacific County,$688
Pend Oreille County,$652
Pierce County *,$929
San Juan County,$925
Skagit County,$920
Skamania County,$891
Snohomish County,"$1,098"
Spokane County,$755
Stevens County,$648
Thurston County,$898
Wahkiakum County,$701
Walla Walla County,$713
Whatcom County,$850
Whitman County,$716
Yakima County,$698
