,county_name,Percent,Year
146,San Juan County,11.6,2015
147,Skagit County,16,2015
148,Skamania County,13.7,2015
149,Snohomish County,10.2,2015
150,Spokane County,15.9,2015
151,Stevens County,18,2015
152,Thurston County,12.4,2015
153,Wahkiakum County,17.1,2015
154,Walla Walla County,17.6,2015
155,Whatcom County,16,2015
156,Whitman County,31.2,2015
157,Yakima County,21.3,2015
158,Adams County,23,2016
159,Asotin County,14.5,2016
160,Benton County,13.9,2016
161,Chelan County,12.6,2016
162,Clallam County,15.7,2016
163,Clark County,10.2,2016
164,Columbia County,14.8,2016
165,Cowlitz County,16.9,2016
166,Douglas County,13.4,2016
167,Ferry County,23.5,2016
168,Franklin County,16.4,2016
169,Garfield County,11.3,2016
170,Grant County,16.9,2016
171,Grays Harbor County,16.6,2016
172,Island County,9.5,2016
173,Jefferson County,12,2016
174,King County,10.7,2016
175,Kitsap County,10.4,2016
176,Kittitas County,20.9,2016
177,Klickitat County,15.7,2016
178,Lewis County,16.3,2016
179,Lincoln County,14.8,2016
180,Mason County,17,2016
181,Okanogan County,21.2,2016
182,Pacific County,18.7,2016
183,Pend Oreille County,19.8,2016
184,Pierce County,12.7,2016
185,San Juan County,11.1,2016
186,Skagit County,15,2016
187,Skamania County,14.3,2016
188,Snohomish County,9.3,2016
189,Spokane County,15.6,2016
190,Stevens County,16.5,2016
191,Thurston County,12,2016
192,Wahkiakum County,14.1,2016
193,Walla Walla County,16.5,2016
194,Whatcom County,16,2016
195,Whitman County,30,2016
196,Yakima County,20.5,2016
