Id,Id2,state,Target Geo Id,Target Geo Id2,Geographic Area,county_name,med_income,Year
0400000US53,53,Washington,0400000US53,53,Washington,Washington,60294,2014
0400000US53,53,Washington,0500000US53001,53001,Washington - Adams County,Adams County,44533,2014
0400000US53,53,Washington,0500000US53003,53003,Washington - Asotin County,Asotin County,42689,2014
0400000US53,53,Washington,0500000US53005,53005,Washington - Benton County,Benton County,60589,2014
0400000US53,53,Washington,0500000US53007,53007,Washington - Chelan County,Chelan County,50876,2014
0400000US53,53,Washington,0500000US53009,53009,Washington - Clallam County,Clallam County,47008,2014
0400000US53,53,Washington,0500000US53011,53011,Washington - Clark County,Clark County,59551,2014
0400000US53,53,Washington,0500000US53013,53013,Washington - Columbia County,Columbia County,41071,2014
0400000US53,53,Washington,0500000US53015,53015,Washington - Cowlitz County,Cowlitz County,46571,2014
0400000US53,53,Washington,0500000US53017,53017,Washington - Douglas County,Douglas County,53235,2014
0400000US53,53,Washington,0500000US53019,53019,Washington - Ferry County,Ferry County,37542,2014
0400000US53,53,Washington,0500000US53021,53021,Washington - Franklin County,Franklin County,56719,2014
0400000US53,53,Washington,0500000US53023,53023,Washington - Garfield County,Garfield County,50915,2014
0400000US53,53,Washington,0500000US53025,53025,Washington - Grant County,Grant County,46772,2014
0400000US53,53,Washington,0500000US53027,53027,Washington - Grays Harbor County,Grays Harbor County,43379,2014
0400000US53,53,Washington,0500000US53029,53029,Washington - Island County,Island County,59107,2014
0400000US53,53,Washington,0500000US53031,53031,Washington - Jefferson County,Jefferson County,47202,2014
0400000US53,53,Washington,0500000US53033,53033,Washington - King County,King County,73035,2014
0400000US53,53,Washington,0500000US53035,53035,Washington - Kitsap County,Kitsap County,62473,2014
0400000US53,53,Washington,0500000US53037,53037,Washington - Kittitas County,Kittitas County,45406,2014
0400000US53,53,Washington,0500000US53039,53039,Washington - Klickitat County,Klickitat County,46368,2014
0400000US53,53,Washington,0500000US53041,53041,Washington - Lewis County,Lewis County,42917,2014
0400000US53,53,Washington,0500000US53043,53043,Washington - Lincoln County,Lincoln County,47161,2014
0400000US53,53,Washington,0500000US53045,53045,Washington - Mason County,Mason County,49538,2014
0400000US53,53,Washington,0500000US53047,53047,Washington - Okanogan County,Okanogan County,39665,2014
0400000US53,53,Washington,0500000US53049,53049,Washington - Pacific County,Pacific County,39418,2014
0400000US53,53,Washington,0500000US53051,53051,Washington - Pend Oreille County,Pend Oreille County,40070,2014
0400000US53,53,Washington,0500000US53053,53053,Washington - Pierce County,Pierce County,59711,2014
0400000US53,53,Washington,0500000US53055,53055,Washington - San Juan County,San Juan County,54331,2014
0400000US53,53,Washington,0500000US53057,53057,Washington - Skagit County,Skagit County,54917,2014
0400000US53,53,Washington,0500000US53059,53059,Washington - Skamania County,Skamania County,50986,2014
0400000US53,53,Washington,0500000US53061,53061,Washington - Snohomish County,Snohomish County,69443,2014
0400000US53,53,Washington,0500000US53063,53063,Washington - Spokane County,Spokane County,50432,2014
0400000US53,53,Washington,0500000US53065,53065,Washington - Stevens County,Stevens County,42111,2014
0400000US53,53,Washington,0500000US53067,53067,Washington - Thurston County,Thurston County,62286,2014
0400000US53,53,Washington,0500000US53069,53069,Washington - Wahkiakum County,Wahkiakum County,44500,2014
0400000US53,53,Washington,0500000US53071,53071,Washington - Walla Walla County,Walla Walla County,47854,2014
0400000US53,53,Washington,0500000US53073,53073,Washington - Whatcom County,Whatcom County,53025,2014
0400000US53,53,Washington,0500000US53075,53075,Washington - Whitman County,Whitman County,35578,2014
0400000US53,53,Washington,0500000US53077,53077,Washington - Yakima County,Yakima County,43956,2014
