"","year","county_fips","hhpop","horate","medhhincome","long","lat","order","hole","piece","group","state_abbv","state_fips","county_name","fips_class","state_name"
"39",2015,"53003",8073.172,0.587011895696016,45980,-117.057915,46.429733,193242,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"40",2015,"53003",8073.172,0.587011895696016,45980,-117.03981207,46.42590412,193243,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"41",2015,"53003",8073.172,0.587011895696016,45980,-117.039813,46.425425,193244,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"42",2015,"53003",8073.172,0.587011895696016,45980,-117.036562,46.422596,193245,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"43",2015,"53003",8073.172,0.587011895696016,45980,-117.034696,46.418318,193246,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"44",2015,"53003",8073.172,0.587011895696016,45980,-117.035545,46.410012,193247,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"45",2015,"53003",8073.172,0.587011895696016,45980,-117.036455,46.407792,193248,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"46",2015,"53003",8073.172,0.587011895696016,45980,-117.038282,46.40604,193249,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"47",2015,"53003",8073.172,0.587011895696016,45980,-117.041737,46.395195,193250,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"48",2015,"53003",8073.172,0.587011895696016,45980,-117.04195,46.39216,193251,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"49",2015,"53003",8073.172,0.587011895696016,45980,-117.046915,46.379577,193252,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"50",2015,"53003",8073.172,0.587011895696016,45980,-117.049474,46.37682,193253,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"51",2015,"53003",8073.172,0.587011895696016,45980,-117.051775,46.375641,193254,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"52",2015,"53003",8073.172,0.587011895696016,45980,-117.057516,46.371396,193255,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"53",2015,"53003",8073.172,0.587011895696016,45980,-117.061045,46.367747,193256,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"54",2015,"53003",8073.172,0.587011895696016,45980,-117.062785,46.365287,193257,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"55",2015,"53003",8073.172,0.587011895696016,45980,-117.062748,46.353624,193258,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"56",2015,"53003",8073.172,0.587011895696016,45980,-117.06263,46.352522,193259,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"57",2015,"53003",8073.172,0.587011895696016,45980,-117.060703,46.349015,193260,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"58",2015,"53003",8073.172,0.587011895696016,45980,-117.055983,46.345531,193261,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"59",2015,"53003",8073.172,0.587011895696016,45980,-117.051735,46.343833,193262,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"60",2015,"53003",8073.172,0.587011895696016,45980,-117.045469,46.34249,193263,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"61",2015,"53003",8073.172,0.587011895696016,45980,-117.03445,46.34132,193264,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
"62",2015,"53003",8073.172,0.587011895696016,45980,-117.030672,46.340315,193265,FALSE,"1","53003.1","WA","53","Asotin County","H1","Washington"
