COUNTY,monthly_rent
Adams County,$537 
Asotin County,$537 
Benton County,$598 
Chelan County,$686 
Clallam County,$499 
Clark County,$598 
Columbia County,$471 
Cowlitz County,$589 
Douglas County,$770 
Ferry County,$558 
Franklin County,$725 
Garfield County,$480 
Grant County,$527 
Grays Harbor County,$550 
Island County,$558 
Jefferson County,$675 
King County,$774 
Kitsap County,$510 
Kittitas County,$913 
Klickitat County,$669 
Lewis County,$767 
Lincoln County,$568 
Mason County,$555 
Okanogan County,$511 
Pacific County,$913 
Pend Oreille County,$546 
Pierce County *,$589 
San Juan County,$531 
Skagit County,$561 
Skamania County,$673 
Snohomish County,$537 
Spokane County,$774 
Stevens County,$609 
Thurston County,$669 
Wahkiakum County,$471 
Walla Walla County,$588 
Whatcom County,$471 
Whitman County,$539 
Yakima County,$471 
