COUNTY,monthly_rent
Adams County,$643
Asotin County,$695
Benton County,$829
Chelan County,$762
Clallam County,$838
Clark County,$944
Columbia County,$655
Cowlitz County,$737
Douglas County,$762
Ferry County,$643
Franklin County,$829
Garfield County,$643
Grant County,$679
Grays Harbor County,$681
Island County,$909
Jefferson County,$907
King County,"$1,415"
Kitsap County,"$1,020"
Kittitas County,$818
Klickitat County,$680
Lewis County,$724
Lincoln County,$643
Mason County,$876
Okanogan County,$667
Pacific County,$767
Pend Oreille County,$685
Pierce County *,"$1,093"
San Juan County,$974
Skagit County,$988
Skamania County,$944
Snohomish County,"$1,415"
Spokane County,$773
Stevens County,$667
Thurston County,"$1,026"
Wahkiakum County,$643
Walla Walla County,$731
Whatcom County,$948
Whitman County,$736
Yakima County,$769
