COUNTY,monthly_rent
Adams County,$434
Asotin County,$504
Benton County,$539
Chelan County,$558
Clallam County,$548
Clark County,$675
Columbia County,$448
Cowlitz County,$480
Douglas County,$558
Ferry County,$434
Franklin County,$539
Garfield County,$448
Grant County,$443
Grays Harbor County,$450
Island County,$805
Jefferson County,$561
King County,$857
Kitsap County,$667
Kittitas County,$502
Klickitat County,$581
Lewis County,$485
Lincoln County,$434
Mason County,$546
Okanogan County,$486
Pacific County,$476
Pend Oreille County,$434
Pierce County *,$699
San Juan County,$686
Skagit County,$614
Skamania County,$675
Snohomish County,$857
Spokane County,$474
Stevens County,$432
Thurston County,$628
Wahkiakum County,$483
Walla Walla County,$448
Whatcom County,$612
Whitman County,$485
Yakima County,$515
