COUNTY,monthly_rent
Adams County,$898
Asotin County,$899
Benton County,"$1,108"
Chelan County,$959
Clallam County,"$1,203"
Clark County,"$1,391"
Columbia County,$940
Cowlitz County,"$1,086"
Douglas County,$959
Ferry County,$947
Franklin County,"$1,108"
Garfield County,$801
Grant County,$918
Grays Harbor County,$972
Island County,"$1,339"
Jefferson County,"$1,130"
King County,"$2,085"
Kitsap County,"$1,465"
Kittitas County,"$1,205"
Klickitat County,$851
Lewis County,$951
Lincoln County,$801
Mason County,"$1,186"
Okanogan County,$848
Pacific County,"$1,027"
Pend Oreille County,$901
Pierce County *,"$1,611"
San Juan County,"$1,286"
Skagit County,"$1,387"
Skamania County,"$1,391"
Snohomish County,"$2,085"
Spokane County,"$1,105"
Stevens County,$932
Thurston County,"$1,486"
Wahkiakum County,$801
Walla Walla County,$966
Whatcom County,"$1,372"
Whitman County,"$1,085"
Yakima County,"$1,027"
