COUNTY,monthly_rent
Adams County,$385
Asotin County,$479
Benton County,$549
Chelan County,$545
Clallam County,$540
Clark County,$665
Columbia County,$379
Cowlitz County,$478
Douglas County,$545
Ferry County,$382
Franklin County,$549
Garfield County,$379
Grant County,$392
Grays Harbor County,$446
Island County,$743
Jefferson County,$587
King County,$800
Kitsap County,$678
Kittitas County,$517
Klickitat County,$509
Lewis County,$494
Lincoln County,$438
Mason County,$559
Okanogan County,$456
Pacific County,$487
Pend Oreille County,$426
Pierce County *,$638
San Juan County,$696
Skagit County,$599
Skamania County,$665
Snohomish County,$800
Spokane County,$489
Stevens County,$421
Thurston County,$626
Wahkiakum County,$483
Walla Walla County,$463
Whatcom County,$614
Whitman County,$501
Yakima County,$460
