COUNTY,monthly_rent
Adams County,$637 
Asotin County,$637 
Benton County,$809 
Chelan County,$896 
Clallam County,$660 
Clark County,$809 
Columbia County,$637 
Cowlitz County,$754 
Douglas County,$943 
Ferry County,$755 
Franklin County,$951 
Garfield County,$649 
Grant County,$713 
Grays Harbor County,$733 
Island County,$661 
Jefferson County,$908 
King County,$922 
Kitsap County,$659 
Kittitas County,"$1,123 "
Klickitat County,$853 
Lewis County,$999 
Lincoln County,$732 
Mason County,$683 
Okanogan County,$637 
Pacific County,"$1,123 "
Pend Oreille County,$739 
Pierce County *,$754 
San Juan County,$686 
Skagit County,$695 
Skamania County,$885 
Snohomish County,$637 
Spokane County,$922 
Stevens County,$824 
Thurston County,$905 
Wahkiakum County,$637 
Walla Walla County,$795 
Whatcom County,$637 
Whitman County,$705 
Yakima County,$637 
