COUNTY,monthly_rent
Adams County,$430
Asotin County,$458
Benton County,$547
Chelan County,$529
Clallam County,$486
Clark County,$886
Columbia County,$548
Cowlitz County,$482
Douglas County,$529
Ferry County,$548
Franklin County,$547
Garfield County,$430
Grant County,$481
Grays Harbor County,$549
Island County,$684
Jefferson County,$613
King County,"$1,049"
Kitsap County,$626
Kittitas County,$642
Klickitat County,$673
Lewis County,$567
Lincoln County,$430
Mason County,$592
Okanogan County,$474
Pacific County,$525
Pend Oreille County,$449
Pierce County *,$742
San Juan County,$793
Skagit County,$663
Skamania County,$886
Snohomish County,"$1,049"
Spokane County,$488
Stevens County,$494
Thurston County,$751
Wahkiakum County,$430
Walla Walla County,$624
Whatcom County,$604
Whitman County,$553
Yakima County,$492
