COUNTY,monthly_rent
Adams County,$542
Asotin County,$538
Benton County,$648
Chelan County,$563
Clallam County,$619
Clark County,$793
Columbia County,$484
Cowlitz County,$599
Douglas County,$563
Ferry County,$542
Franklin County,$648
Garfield County,$542
Grant County,$513
Grays Harbor County,$527
Island County,$696
Jefferson County,$670
King County,"$1,150"
Kitsap County,$778
Kittitas County,$605
Klickitat County,$574
Lewis County,$543
Lincoln County,$475
Mason County,$647
Okanogan County,$535
Pacific County,$619
Pend Oreille County,$506
Pierce County *,$839
San Juan County,$764
Skagit County,$735
Skamania County,$793
Snohomish County,"$1,150"
Spokane County,$571
Stevens County,$493
Thurston County,$838
Wahkiakum County,$475
Walla Walla County,$540
Whatcom County,$721
Whitman County,$562
Yakima County,$597
